,iid,shape_0,size_0,color_0,material_0,appr_corr_0,material_0shape_0,shape_0color_0,size_0material_0,material_0shape_0color_0,size_0material_0color_0,size_0material_0shape_0,size_0shape_0color_0,intr_corr_0,seed,images,_runtime,_timestamp,_step,lr-Adam,loss,epoch,avg_ari_mask,corr_coef_disc,corr_coef_pos,corr_coef_size,corr_coef_material,corr_coef_shape,corr_coef_color,corr_coef,corr_rank_disc,corr_rank_pos,corr_rank_size,corr_rank_material,corr_rank_shape,corr_rank_color,corr_rank,avg_obj_greedy_loss_nodup,avg_attr_greedy_loss_nodup,avg_obj_pseudo_greedy_loss,avg_attr_pseudo_greedy_loss,avg_obj_greedy_loss_nodup_en,avg_attr_greedy_loss_nodup_en,avg_obj_pseudo_greedy_loss_en,avg_attr_pseudo_greedy_loss_en,avg_obj_greedy_loss_nodup_hn,avg_attr_greedy_loss_nodup_hn,avg_obj_pseudo_greedy_loss_hn,avg_attr_pseudo_greedy_loss_hn,std_obj_greedy_loss_nodup,std_attr_greedy_loss_nodup,std_obj_pseudo_greedy_loss,std_attr_pseudo_greedy_loss,avg_obj_greedy_cos_loss_nodup,avg_attr_greedy_cos_loss_nodup,avg_obj_pseudo_greedy_cos_loss,avg_attr_pseudo_greedy_cos_loss,avg_obj_greedy_cos_loss_nodup_en,avg_attr_greedy_cos_loss_nodup_en,avg_obj_pseudo_greedy_cos_loss_en,avg_attr_pseudo_greedy_cos_loss_en,avg_obj_greedy_cos_loss_nodup_hn,avg_attr_greedy_cos_loss_nodup_hn,avg_obj_pseudo_greedy_cos_loss_hn,avg_attr_pseudo_greedy_cos_loss_hn,std_obj_greedy_cos_loss_nodup,std_attr_greedy_cos_loss_nodup,std_obj_pseudo_greedy_cos_loss,std_attr_pseudo_greedy_cos_loss,_wandb
18,,,,1.0,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",13376,1636717819,7999,0.00015133347908317168,0.008638733997941017,499,0.6838778257369995,-0.00010386807844042778,0.4798927903175354,-0.14629009366035461,-0.10962207615375519,-0.08744828402996063,-0.061490073800086975,0.1755518913269043,0.0023456215858459473,0.004963994026184082,-0.009981274604797363,-0.0038047432899475098,-0.00659748911857605,0.009441882371902466,0.00446552038192749,0.19970543682575226,0.17398764193058014,0.09056228399276733,0.11050553619861603,0.14684128761291504,0.07603644579648972,0.18283136188983917,0.06358464062213898,0.03809371590614319,0.010433699935674667,0.0675111785531044,0.03172958269715309,0.00037845151382498443,0.0011282924097031355,0.00016202313418034464,0.0006104197818785906,0.18866075575351715,0.10477524250745773,0.1733357161283493,0.0774136632680893,0.0398971363902092,0.04836878180503845,0.06958330422639847,0.12515629827976227,0.009042944759130478,0.010411949828267097,0.04327557608485222,0.027229728177189827,0.00022633944172412157,0.0006537953740917146,0.00027799379313364625,0.0004779394657816738,{'runtime': 13375}
19,,,,1.0,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",12603,1636717020,7999,0.00015133347908317168,0.010732119902968407,499,0.09422434866428375,0.14461137354373932,0.37017908692359924,-0.20968443155288696,-0.1347108781337738,-0.1390734314918518,-0.16822798550128937,0.2608031928539276,-0.009776651859283447,-0.009929776191711426,-0.0016736984252929688,-0.005221962928771973,0.0034714043140411377,0.0010281205177307129,-0.00325167179107666,0.3119482696056366,0.24330177903175354,0.21599145233631134,0.23728960752487183,0.1421475112438202,0.07228296995162964,0.24991284310817719,0.11815527826547623,0.020406574010849,0.015793005004525185,0.06927041709423065,0.018700065091252327,0.00043356753303669393,0.0011407071724534035,0.00025845272466540337,0.0008207286591641605,0.2363293319940567,0.14621087908744812,0.20786501467227936,0.130748450756073,0.0581466406583786,0.05034890025854111,0.0912213921546936,0.0794362723827362,0.007990466430783272,0.01188915316015482,0.0329885259270668,0.01496937032788992,0.000270798453129828,0.0007141526439227164,0.00021032255608588457,0.0005150900688022375,{'runtime': 12602}
62,,,,,,,,,,,1.0,,,,7.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",756,1636718477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'runtime': 756}
63,,,,,,,,,,,1.0,,,,11.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",14640,1636721273,7995,0.00015043953765805007,0.006771383341401815,499,0.7706934809684753,0.012601068243384361,0.4939890503883362,-0.1617579460144043,-0.1264401376247406,-0.10399265587329865,-0.08533334732055664,0.1917608678340912,-0.002664893865585327,0.002998173236846924,0.001456916332244873,0.0017893314361572266,-0.0060523152351379395,-0.007226288318634033,-0.004297792911529541,0.19943399727344513,0.16420528292655945,0.10293469578027725,0.10258810222148895,0.154419407248497,0.07819809019565582,0.16965362429618835,0.06285801529884338,0.037379100918769836,0.014856992289423943,0.060806289315223694,0.03141767904162407,0.0003825330641120672,0.0010904917726293206,0.00016038634930737317,0.0005818460485897958,0.1888006329536438,0.0986335426568985,0.1705816388130188,0.07198097556829453,0.044417791068553925,0.052424877882003784,0.06763526052236557,0.12088071554899216,0.008529537357389927,0.014399942941963673,0.03951412811875343,0.02785908803343773,0.0002400252706138417,0.000648488465230912,0.00027924811001867056,0.0004907951806671917,{'runtime': 14640}
69,,,,,,,,,,,,1.0,,,11.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",34000,1636740866,7999,0.00015133347908317168,0.006173830479383469,499,0.7848739624023438,0.010159744881093502,0.4999847412109375,-0.1663394272327423,-0.1196630448102951,-0.10235390067100525,-0.07406848669052124,0.19178828597068787,0.004238694906234741,-0.004434347152709961,-0.003274977207183838,-0.0012301206588745117,0.0062874555587768555,-0.006145983934402466,-0.009000539779663086,0.19929789006710052,0.17002132534980774,0.09805592894554138,0.1028970330953598,0.14938800036907196,0.07646951824426651,0.16980323195457458,0.05822969600558281,0.03925568610429764,0.015592067502439022,0.06374760717153549,0.031193919479846954,0.00037753197830170393,0.0010063364170491695,0.0001525302359368652,0.0005378531059250236,0.19008184969425201,0.10260132700204849,0.17296813428401947,0.0731147825717926,0.03977468982338905,0.049784500151872635,0.06495033204555511,0.11551940441131592,0.009128998033702374,0.011709382757544518,0.04155156761407852,0.02568923309445381,0.00023119253455661237,0.0005914838402532041,0.00029023195384070277,0.00047131755854934454,{'runtime': 34000}
70,,,,,,,,,,,,1.0,,,13.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",13100,1636720016,7999,0.00015133347908317168,0.006520431023091078,499,0.7642963528633118,0.009466247633099556,0.4810754060745239,-0.16471299529075623,-0.11683996766805649,-0.09690046310424805,-0.0772729367017746,0.1843043565750122,0.007027119398117065,0.0006713271141052246,-0.0016781389713287354,0.002415567636489868,-0.0037565231323242188,0.008723467588424683,0.0028819143772125244,0.1977442502975464,0.17046941816806793,0.09591132402420044,0.0937085673213005,0.15215852856636047,0.07240519672632217,0.15085044503211975,0.0594063401222229,0.03785283491015434,0.014008801430463791,0.055417370051145554,0.025966636836528778,0.0003810026973951608,0.0010469075059518218,0.00014094966172706336,0.0005260365433059633,0.1899595856666565,0.10098089277744293,0.15248706936836243,0.06405846774578094,0.040103718638420105,0.05119090527296066,0.06106598302721977,0.10446367412805557,0.006088310852646828,0.01301287766546011,0.034532997757196426,0.021369973197579384,0.00023275762214325368,0.0006198707269504666,0.00025468238163739443,0.0004674592346418649,{'runtime': 13099}
80,,,,,,,,,,,,,,1.0,7.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",13159,1636720074,7992,0.00015043953765805007,0.006463457830250263,499,0.6899735331535339,0.06211432069540024,0.5068986415863037,-0.16940085589885712,-0.12861931324005127,-0.11441045999526978,-0.11695835739374161,0.2394070327281952,-0.0046904683113098145,-0.004348337650299072,0.005685299634933472,0.001228630542755127,0.0116424560546875,-0.0008684396743774414,-0.006959438323974609,0.24362534284591675,0.2007770836353302,0.12360722571611404,0.10903291404247284,0.15245085954666138,0.075017549097538,0.1390068680047989,0.05518965795636177,0.033459268510341644,0.011410944163799286,0.04445871338248253,0.02076057717204094,0.0003961361653637141,0.001111295074224472,0.00018571189139038324,0.0005025892751291394,0.21287253499031067,0.11624010652303696,0.1536742001771927,0.0650646761059761,0.04528101906180382,0.05304981395602226,0.05971398204565048,0.0934114009141922,0.006440189201384783,0.011267084628343582,0.029193412512540817,0.01633179560303688,0.00025590488803572953,0.0006642158259637654,0.00024396668595727533,0.00038906396366655827,{'runtime': 13160}
81,,,,,,,,,,,,,,1.0,11.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",13578,1636720445,7992,0.00015043953765805007,0.008075825870037079,499,0.22022861242294312,0.11701515316963196,0.5025684237480164,-0.18431377410888672,-0.13298460841178894,-0.1305234432220459,-0.1457480788230896,0.2853431701660156,0.005942732095718384,0.010085344314575195,0.007180899381637573,0.004187047481536865,-0.005148798227310181,-0.0037342309951782227,0.003861933946609497,0.25951406359672546,0.20080013573169708,0.15781128406524658,0.17760299146175385,0.16806985437870026,0.07281437516212463,0.24659639596939087,0.09622250497341156,0.03115352988243103,0.009402266703546047,0.06423109024763107,0.013786652125418186,0.00041737599531188607,0.0010885680094361305,0.0002301825734321028,0.0005848585860803723,0.22478188574314117,0.11959318071603775,0.18257629871368408,0.09494452178478241,0.06003468483686447,0.05122801661491394,0.08859778195619583,0.07927800714969635,0.00909834448248148,0.007488304749131203,0.03357141464948654,0.011590500362217426,0.00026212824741378427,0.000677751493640244,0.00020324256911408156,0.0003389072953723371,{'runtime': 13578}
82,,,,,,,,,,,,,,1.0,13.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",13623,1636720487,7998,0.00015043953765805007,0.0076825362630188465,499,0.7870113253593445,0.022540614008903503,0.4607457220554352,-0.16624142229557037,-0.11874808371067047,-0.09819287061691284,-0.08237501233816147,0.18821999430656433,-0.0013702213764190674,0.0017796456813812256,-0.004877865314483643,-0.0020683705806732178,-0.0013093352317810059,-0.0055474042892456055,0.006403863430023193,0.18734565377235413,0.1441693902015686,0.09217900037765503,0.08929076790809631,0.15456166863441467,0.07610473781824112,0.1509673148393631,0.05296105891466141,0.0359068401157856,0.018622424453496933,0.05677090585231781,0.03068769909441471,0.00038718522409908473,0.0010114321485161781,0.0001472978328820318,0.0005478698876686394,0.1841273009777069,0.08780614286661148,0.15254606306552887,0.06474366784095764,0.04295935109257698,0.05025545507669449,0.06180008128285408,0.10133916884660721,0.006997328717261553,0.01729862205684185,0.03539610654115677,0.027481572702527046,0.00024176028091460466,0.0005947204772382975,0.00026524122222326696,0.0005068626487627625,{'runtime': 13623}
83,0.75,0.25,,,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",14074,1636720993,7994,0.00015043953765805007,0.007577144540846348,499,0.7743490934371948,-0.01717991568148136,0.4935811161994934,-0.15084998309612274,-0.12309280037879944,-0.09140641987323761,-0.057491235435009,0.16574735939502716,0.004316389560699463,0.004736036062240601,-0.010544955730438232,-0.008025109767913818,0.011653691530227661,-0.001760929822921753,0.00868368148803711,0.16307279467582703,0.13390019536018372,0.08224216848611832,0.10182098299264908,0.15218332409858704,0.07894040644168854,0.19686588644981384,0.0625687763094902,0.03996030613780022,0.012337961234152317,0.07666637748479843,0.03399098291993141,0.00036164201446808875,0.0010350566590204835,0.00015838273975532502,0.0005851889727637172,0.1705796867609024,0.08037430047988892,0.18187198042869568,0.07471389323472977,0.040541887283325195,0.05389441177248955,0.07281149923801422,0.16369134187698364,0.009398573078215122,0.011369054205715656,0.050802361220121384,0.029680127277970314,0.0002156642876798287,0.0006033254321664572,0.00031442497856914997,0.000520605593919754,{'runtime': 14073}
