,iid,shape_0,size_0,color_0,material_0,appr_corr_0,material_0shape_0,shape_0color_0,size_0material_0,material_0shape_0color_0,size_0material_0color_0,size_0material_0shape_0,size_0shape_0color_0,intr_corr_0,seed,images,_runtime,_timestamp,_step
0,1.0,,,,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",859,1637026907,0
1,1.0,,,,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",865,1637026937,0
2,1.0,,,,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",840,1637026949,0
3,1.0,,,,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",863,1637027017,0
4,1.0,,,,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",851,1637026899,0
5,,1.0,,,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",856,1637026931,0
6,,1.0,,,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",867,1637026996,0
7,,1.0,,,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",854,1637027020,0
8,,1.0,,,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",747,1637026795,0
9,,1.0,,,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",835,1637026882,0
10,,1.0,,,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",836,1637026909,0
11,,,1.0,,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",870,1637026981,0
12,,,1.0,,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",856,1637027040,0
13,,,1.0,,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",750,1637026809,0
14,,,1.0,,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",844,1637026893,0
15,,,1.0,,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",831,1637026894,0
16,,,1.0,,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",832,1637026953,0
17,,,,1.0,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",758,1637026808,0
18,,,,1.0,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",838,1637026888,0
19,,,,1.0,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",865,1637026941,0
20,,,,1.0,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",866,1637026974,0
21,,,,1.0,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",858,1637027023,0
22,,,,1.0,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",860,1637026910,0
23,,,,,1.0,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",864,1637026942,0
24,,,,,1.0,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",852,1637026977,0
25,,,,,1.0,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",862,1637027033,0
26,,,,,1.0,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",823,1637026872,0
27,,,,,1.0,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",843,1637026908,0
28,,,,,1.0,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",851,1637026968,0
29,,,,,,1.0,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",848,1637027006,0
30,,,,,,1.0,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",739,1637026773,0
31,,,,,,1.0,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",748,1637026785,0
32,,,,,,1.0,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",851,1637026899,0
33,,,,,,1.0,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",844,1637026910,0
34,,,,,,1.0,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",839,1637026954,0
35,,,,,,,1.0,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",750,1637026786,0
36,,,,,,,1.0,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",755,1637026805,0
37,,,,,,,1.0,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",827,1637026875,0
38,,,,,,,1.0,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",820,1637026894,0
39,,,,,,,1.0,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",852,1637026923,0
40,,,,,,,1.0,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",845,1637026918,0
41,,,,,,,,1.0,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",878,1637026991,0
42,,,,,,,,1.0,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",846,1637027018,0
43,,,,,,,,1.0,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",846,1637026962,0
44,,,,,,,,1.0,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",840,1637026916,0
45,,,,,,,,1.0,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",842,1637026901,0
46,,,,,,,,1.0,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",840,1637026888,0
47,,,,,,,,,1.0,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",849,1637026923,0
48,,,,,,,,,1.0,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",847,1637026974,0
49,,,,,,,,,1.0,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",806,1637026854,0
